TaskId,Phase,Category,Title,EstimateHours,DependsOn,Status,Assignee,Description,Notes
T001,1,Migration,Create AppUser table,1,,NotStarted,,"Create AppUser table per data model spec: Id, AdAccount, DisplayName, ClockNumber, PinHash, IgnitionRole, CreatedAt, DeprecatedAt.",
T002,1,Migration,Create Audit schema tables,2,,NotStarted,,"Create LogSeverity, LogEventType, LogEntityType, ConfigLog, OperationLog, InterfaceLog tables in Audit schema per data model spec.",
T003,1,Seed,Seed audit lookup tables,1,T002,NotStarted,,"Insert seed rows for LogSeverity (Info/Warning/Error/Critical), LogEventType (initial set), LogEntityType (one row per entity table).",
T004,1,Seed,Insert bootstrap AppUser row,0.5,T001,NotStarted,,"Direct INSERT of Id=1 system.bootstrap user via migration script (not via AppUser_Create). Breaks chicken-and-egg with @AppUserId attribution.",
T005,1,StoredProc,Write Audit_LogConfigChange proc,2,"T002,T003",NotStarted,,"Shared proc called by every Create/Update/Deprecate in all later phases. Writes to Audit.ConfigLog.",Critical cross-cutting dependency for all later phases
T006,1,StoredProc,Write Audit_LogOperation proc,2,"T002,T003",NotStarted,,"Shared proc for Plant Floor mutations. Writes to Audit.OperationLog. Not used by Configuration Tool directly but defined here for the future Arc 2 build.",
T007,1,StoredProc,Write Audit_LogInterfaceCall proc,2,"T002,T003",NotStarted,,"Shared proc for external system calls (AIM/Zebra/Macola). Writes to Audit.InterfaceLog. Supports FRS 3.17.4 high-fidelity toggle.",
T008,1,StoredProc,Write AppUser CRUD procs,8,"T001,T004,T005",NotStarted,,"8 procs: _List, _Get, _GetByAdAccount, _GetByClockNumber, _Create, _Update, _SetPin, _Deprecate. All mutating procs call Audit_LogConfigChange.",
T009,1,StoredProc,Write audit lookup List procs,1,T003,NotStarted,,"Read-only procs: LogSeverity_List, LogEventType_List, LogEntityType_List.",
T010,1,StoredProc,Write ConfigLog read procs,3,T002,NotStarted,,"ConfigLog_List (paged/filterable) and ConfigLog_GetByEntity for audit history per entity.",
T011,1,NamedQuery,Configure Phase 1 Named Queries,2,"T005,T006,T007,T008,T009,T010",NotStarted,,"Configure Ignition Named Queries wrapping all Phase 1 stored procs.",
T012,1,Frontend,Build User Management Perspective view,8,T011,NotStarted,,"Admin-only view. List with active/deprecated filter. Add/Edit/Deprecate modals. Role dropdown.",
T013,1,Frontend,Build PIN Reset flow,4,T011,NotStarted,,"Self-service or admin. Hash client-side before calling AppUser_SetPin.",
T014,1,Frontend,Build Audit Log Browser,6,T011,NotStarted,,"Filterable view of Audit.ConfigLog. Entity/user/date filters. Row expansion shows old/new diff.",
T015,1,Testing,Phase 1 integration testing,4,"T012,T013,T014",NotStarted,,"End-to-end: create admin user, change a user, verify audit log entries, reset a PIN. Gate for Phase 2.",
T016,2,Migration,Create Location schema tables,3,T015,NotStarted,,"LocationType, LocationTypeDefinition, LocationAttributeDefinition, Location, LocationAttribute per data model spec.",
T017,2,Seed,Seed LocationType and initial definitions,2,T016,NotStarted,,"5 LocationType rows. ~15 LocationTypeDefinition rows. ~20 LocationAttributeDefinition rows covering Terminal, DieCastMachine, CNCMachine, etc.",
T018,2,Seed,Seed plant root hierarchy,1,T017,NotStarted,,"1 Enterprise (MPP Inc.), 1 Site (Madison), 5 Areas (Die Cast, Trim Shop, Machine Shop, Production Control, Quality Control).",
T019,2,StoredProc,Write LocationType procs,1,T016,NotStarted,,"Read-only: LocationType_List, LocationType_Get.",
T020,2,StoredProc,Write LocationTypeDefinition CRUD procs,5,"T016,T005",NotStarted,,"5 procs: _List, _Get, _Create, _Update, _Deprecate. Mutating procs call Audit_LogConfigChange.",
T021,2,StoredProc,Write LocationAttributeDefinition CRUD procs,5,"T016,T005",NotStarted,,"5 procs scoped to parent definition. _ListByDefinition, _Get, _Create, _Update, _Deprecate.",
T022,2,StoredProc,Write Location CRUD and tree query procs,10,"T016,T005",NotStarted,,"8 procs including recursive CTEs: _List, _GetTree, _GetAncestors, _GetDescendantsOfType, _Get, _Create, _Update, _Deprecate.",Recursive CTE queries may need performance tuning
T023,2,StoredProc,Write LocationAttribute procs,4,"T016,T005",NotStarted,,"3 procs: _GetByLocation, _Set (upsert), _Clear. _Set validates definition belongs to location kind.",
T024,2,StoredProc,Write Location_BulkLoadMachinesFromSeed proc,4,"T022,T023",NotStarted,,"Accepts CSV blob. Parses machines.csv rows. Maps MachDesc patterns to LocationTypeDefinitions. Calls Location_Create per row.",
T025,2,NamedQuery,Configure Phase 2 Named Queries,3,"T019,T020,T021,T022,T023,T024",NotStarted,,"Configure Ignition Named Queries wrapping all Phase 2 stored procs.",
T026,2,Frontend,Build Plant Hierarchy Browser view,12,T025,NotStarted,,"Tree component showing Enterprise->Site->Area->WorkCenter->Cell. Click node to load details.",
T027,2,Frontend,Build Location Details Panel,10,T025,NotStarted,,"Right drawer. Dynamic attribute form rendered from LocationAttributeDefinition set. Save calls _Update and _Set per changed attribute.",
T028,2,Frontend,Build Add Location Modal,4,T025,NotStarted,,"Triggered from tree context menu. Dropdown filtered to valid child kinds. Calls Location_Create.",
T029,2,Frontend,Build Location Type Definition Editor,8,T025,NotStarted,,"Engineering only. List of definitions grouped by LocationType. Embedded sub-table for LocationAttributeDefinition rows.",
T030,2,Frontend,Build Bulk Seed Loader screen,6,T025,NotStarted,,"One-time-use. Upload CSV, preview, map process patterns to definitions, trigger bulk load.",
T031,2,DataLoad,Load machines.csv seed data,2,"T026,T027,T028,T029,T030",NotStarted,,"Run the bulk loader or call Location_BulkLoadMachinesFromSeed with machines.csv (209 rows).",Review ~35 partial rows from parse_warnings.md with MPP first
T032,2,Testing,Phase 2 integration testing,4,T031,NotStarted,,"Verify tree navigation, attribute editing, audit trail. Gate for Phase 3.",
T033,3,Migration,Create reference lookup tables,2,T032,NotStarted,,"Uom, ItemType, LotOriginType, LotStatusCode, ContainerStatusCode, GenealogyRelationshipType, OperationStatus, WorkOrderStatus.",
T034,3,Seed,Seed reference lookup data,1,T033,NotStarted,,"Seed all fixed-value rows per data model spec. UOMs (EA/LB/KG/etc), ItemTypes (Raw Material/Component/etc), status codes.",
T035,3,StoredProc,Write read-only lookup procs,3,T033,NotStarted,,"_List and _Get for 6 fixed tables: LotOriginType, LotStatusCode, ContainerStatusCode, GenealogyRelationshipType, OperationStatus, WorkOrderStatus.",
T036,3,StoredProc,Write mutable lookup CRUD procs,4,"T033,T005",NotStarted,,"Uom and ItemType full CRUD (5 procs each). Mutating procs call Audit_LogConfigChange.",
